0  0  0  0  36 0  0  0  0  53
0  0  0  32 32 32 32 32 32 32
0  25 0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0 
0  0  0  35 0  0  0  0  0  0 
0  0  0  34 0  35 0  0  0  0  
0  0  0  0  0  0  0  0  35 0
0  0  0  0  0  0  0  0  34 0
0  0  0  0  0  0  0  0  34 0
0  0  0  0  25 0  0  0  0  0   
0  0  0  35 0  0  0  0  0  0
0  0  0  34 0  0  0  0  0  0
0  39 0  34 0  0  0  0  0  0
0  32 32 0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0 
32 0  35 0  0  0  0  0  0  0
0  0  34 0  0  0  0  0  0  0
0  0  34 0  0  0  0  0  0  0
0  0  32 32 0  0  0  0  0  0 
40 41 0  0  0  0  0  0  0  0 
32 32 32 0  32 0  0  0  0  0
0  0  0  0  24 0  0  0  0  0
0  24 0  0  24 21 0  0  0  0
0  24 0  0  0  0  0  0  0  0
0  23 21 0  21 0  21 0  0  0
0  23 0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0
22 0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  31 29 0  0
0  24 0  0  0  31 28 28 0  24
0  0  0  0  31 28 28 28 0  0
0  0  0  0  0  0  0  0  22 0
0  0  24 0  0  0  0  0  0  0 
0  0  24 0  0  0  0  0  0  29
22 0  24 0  0  0  0  0  0  28
0  0  24 0  0  0  0  0  0  0
0  0  24 0  0  0  0  0  22 0
29 29 29 0  0  0  0  0  0  0 
0  0  0  0  0  0  0  0  0  0
0  0  29 29 0  0  0  22 0  0
0  0  28 0  0  0  0  0  0  31
22 0  28 0  0  0  0  0  31 28
0  0  28 0  0  0  0  31 28 28
0  24 28 0  0  0  0  28 28 28 
0  0  0  0  0  0  0  0  0  0
0  0  24 0  0  0  0  21 21 0
29 30 0  0  0  0  0  22 0  0
28 28 30 0  0  0  0  28 0  21
28 28 28 30 0  0  0  28 0  0
28 28 28 28 0  0  0  28 29 0
0  0  0  28 0  0  0  0  0  0
0  0  0  0  0  0  0  21 21 21
0  0  29 0  0  0  0  22 0  24
0  0  28 21 0  0  0  22 0  24
21 0  0  0  0  0  0  22 0  24
0  0  0  0  0  0  0  22 0  23
0  0  21 0  0  0  0  22 0  23
0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0
0  0  23 23 23 23 0  0  0  0
0  0  23 23 23 23 0  0  0  0
0  0  0  0  0  0  0  21 0  0
0  0  0  21 0  21 0  0  0  0
0  21 0  0  0  0  0  0  0  0 
0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0  
21 0  0  0  0  0  0  0  0  0 
0  0  21 0  0  0  0  0  0  0 
0  0  0  0  0  0  0  21 0  0
0  0  0  0  22 0  0  0  0  0
0  0  0  0  22 0  0  0  0  0 
0  0  0  0  22 0  0  0  24 0
0  0  0  0  22 0  0  0  24 0
0  0  0  0  23 0  0  0  24 0
0  0  0  0  0  0  0  0  23 0 
21 21 0  0  21 21 21 21 23 0 
0  0  0  0  0  52 0  0  0  0
0  0  0  0  0  0  0  0  0  0 
0  0  0  0  9  2  8  0  0  0
3  0  0  0  7  1  6  0  0  0
0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  0  0  0  0
0  0  0  0  9  2  8  0  0  0
0  0  0  0  0  0  0  0  3  3
0  0  0  0  3  0  3  0  0  0
0  0  0  0  0  0  0  0  0  0
51 0  0  0  0  0  0  0  0  0
9  8  0  0  0  0  0  0  0  0
7  6  0  9  8  0  0  0  0  0
0  0  0  0  0  3  3  0  0  0
0  0  0  0  0  0  0  0  3  3
0  0  0  0  0  0  0  0  0  0
0  0  0  0  0  0  3  3  0  0
0  0  0  0  0  0  0  0  0  0
0  0  0  0  9  8  0  0  0  0
13 0  0  0  0  0  0  0  0  14
9  2  8  0  0  0  0  9  2  8
7  1  6  0  0  0  0  7  1  6
7  1  6  3  3  3  3  7  1  6
